Zotero Key,DOI,Title,Year,Authors
9EAW6CHT,,mTSBench: benchmarking multivariate time series anomaly detection and model selection at scale,2025,"Zhou, Xiaona; Brif, Constantin; Lourentzou, Ismini"
XIC3HVD4,,MalGEN: a generative agent framework for modeling malicious software in cybersecurity,2025,"Saha, Bikash; Shukla, Sandeep Kumar"
8M2TE2JT,,Expert-in-the-loop systems with cross-domain and In-domain few-shot learning for software vulnerability detection,2025,"Farr, David; Talty, Kevin; Farr, Alexandra; Stockdale, John; Cruickshank, Iain; West, Jevin"
DJ5CBQEI,,Automated attack testflow extraction from cyber threat report using BERT for contextual analysis,2025,"Ahmadou, Faissal; Ghaffarzadegan, Sepehr; Nour, Boubakr; Pourzandi, Makan; Debbabi, Mourad; Assi, Chadi"
746MUH9Q,,ShieldLearner: a new paradigm for jailbreak attack defense in LLMs,2025,"Ni, Ziyi; Wang, Hao; Wang, Huacan"
IEUST5PA,,Modification and generated-text detection: achieving dual detection capabilities for the outputs of LLM by watermark,2025,"Cai, Yuhang; Wang, Yaofei; Hu, Donghui; Gu, Chen"
43D9IF39,,Beyond trusting trust: multi-model validation for robust code generation,2025,"McDanel, Bradley"
E597T3S7,,Follow the rules: reasoning for video anomaly detection with large language models,2024,"Yang, Yuchen; Lee, Kwonjoon; Dariush, Behzad; Cao, Yinzhi; Lo, Shao-Yuan"
TGHETIV7,,Chain-of-scrutiny: detecting backdoor attacks for large language models,2024,"Li, Xi; Mao, Ruofan; Zhang, Yusen; Lou, Renze; Wu, Chen; Wang, Jiaqi"
N3XMUGXZ,,"Exploring LLMs for malware detection: review, framework design, and countermeasure approaches",2024,"Al-Karaki, Jamal; Khan, Muhammad Al-Zafar; Omar, Marwan"
XMJ3AWZD,,Ethereum fraud detection via joint transaction language model and graph representation learning,2024,"Sun, Jianguo; Jia, Yifan; Wang, Yanbin; Liu, Yiwei; Sheng, Zhang; Tian, Ye"
D5UB52EC,,Audit-LLM: multi-agent collaboration for log-based insider threat detection,2024,"Song, Chengyu; Ma, Linru; Zheng, Jianming; Liao, Jinzhi; Kuang, Hongyu; Yang, Lin"
UGJ9C2KH,,CTISum: a new benchmark dataset for cyber threat intelligence summarization,2024,"Peng, Wei; Ding, Junmei; Wang, Wei; Cui, Lei; Cai, Wei; Hao, Zhiyu; Yun, Xiaochun"
TEJ9EMD7,,From ML to LLM: evaluating the robustness of phishing webpage detection models against adversarial attacks,2024,"Kulkarni, Aditya; Balachandran, Vivek; Divakaran, Dinil Mon; Das, Tamal"
HCWXPKZ4,,A lean transformer model for dynamic malware analysis and detection,2024,"Quertier, Tony; Marais, Benjamin; Barrué, Grégoire; Morucci, Stéphane; Azé, Sévan; Salladin, Sébastien"
BSMAUPXM,,"PhishLang: a real-time, fully client-side phishing detection framework using MobileBERT",2024,"Roy, Sayak Saha; Nilizadeh, Shirin"
WMJBUSD8,,KGV: integrating large language models with knowledge graphs for cyber threat intelligence credibility assessment,2024,"Wu, Zongzong; Tang, Fengxiao; Zhao, Ming; Li, Yufeng"
DCWV2KWM,,PhishAgent: a robust multimodal agent for phishing webpage detection,2024,"Cao, Tri; Huang, Chengyu; Li, Yuexin; Wang, Huilin; He, Amy; Oo, Nay; Hooi, Bryan"
UJT4RMV9,,HSF: defending against jailbreak attacks with hidden state filtering,2024,"Qian, Cheng; Zhang, Hainan; Sha, Lei; Zheng, Zhiming"
6CH8SI5K,,Static detection of filesystem vulnerabilities in android systems,2024,"Lee, Yu-Tsung; Vijayakumar, Hayawardh; Qian, Zhiyun; Jaeger, Trent"
FBZ267KJ,,Defending large language models against attacks with residual stream activation analysis,2024,"Kawasaki, Amelia; Davis, Andrew; Abbas, Houssam"
FXXR8988,,Fake news detection and manipulation reasoning via large vision-language models,2024,"Jin, Ruihan; Fu, Ruibo; Wen, Zhengqi; Zhang, Shuai; Liu, Yukun; Tao, Jianhua"
Z2DNB2DN,,A novel generative AI-based framework for anomaly detection in multicast messages in smart grid communications,2024,"Zaboli, Aydin; Choi, Seong Lok; Song, Tai-Jin; Hong, Junho"
UGMNFXA7,,DomURLs_BERT: pre-trained BERT-based model for malicious domains and URLs detection and classification,2024,"Mahdaouy, Abdelkader El; Lamsiyah, Salima; Idrissi, Meryem Janati; Alami, Hamza; Yartaoui, Zakaria; Berrada, Ismail"
NEVQJ9XK,,Towards automatic hands-on-keyboard attack detection using LLMs in EDR solutions,2024,"Portnoy, Amit; Azikri, Ehud; Kels, Shay"
AJIXZPI5,,ANVIL: anomaly-based vulnerability identification without labelled training data,2024,"Wang, Weizhou; Liu, Eric; Guo, Xiangyu; Hu, Xiao; Grishchenko, Ilya; Lie, David"
ARUFE797,,LLMCloudHunter: harnessing LLMs for automated extraction of detection rules from cloud-based CTI,2024,"Schwartz, Yuval; Benshimol, Lavi; Mimran, Dudu; Elovici, Yuval; Shabtai, Asaf"
B3V992HH,,PenHeal: a two-stage LLM framework for automated pentesting and optimal remediation,2024,"Huang, Junjie; Zhu, Quanyan"
MXT32JJ7,,Is the digital forensics and incident response pipeline ready for text-based threats in LLM era?,2024,"Bhandarkar, Avanti; Wilson, Ronald; Swarup, Anushka; Zhu, Mengdi; Woodard, Damon"
HMAQA7RX,,MistralBSM: leveraging mistral-7B for vehicular networks misbehavior detection,2024,"Hamhoum, Wissal; Cherkaoui, Soumaya"
GDIUX8BS,,PEEK: phishing evolution framework for phishing generation and evolving pattern analysis using large language models,2024,"Chen, Fengchao; Wu, Tingmin; Nguyen, Van; Wang, Shuo; Abuadbba, Alsharif; Rudolph, Carsten"
PD3P67H9,,MultiKG: multi-source threat intelligence aggregation for high-quality knowledge graph representation of attack techniques,2024,"Wang, Jian; Zhu, Tiantian; Xiong, Chunlin; Chen, Yan"
ZB5TVUZ4,,Continuous GNN-based anomaly detection on edge using efficient adaptive knowledge graph learning,2024,"Yun, Sanggeon; Masukawa, Ryozo; Chung, William Youngwoo; Na, Minhyoung; Bastian, Nathaniel; Imani, Mohsen"
K9IIDQTZ,,Secret breach prevention in software issue reports,2024,"Ahmed, Sadif; Rahman, Md Nafiu; Wahab, Zahin; Uddin, Gias; Shahriyar, Rifat"
AZ3EZJZB,,LLM-based continuous intrusion detection framework for next-gen networks,2024,"Adjewa, Frederic; Esseghir, Moez; Merghem-Boulahia, Leila"
QKE76NRU,,Embedding-based classifiers can detect prompt injection attacks,2024,"Ayub, Md. Ahsan; Majumdar, Subhabrata"
NZQPPCHG,,InjecGuard: benchmarking and mitigating over-defense in prompt injection guardrail models,2024,"Li, Hao; Liu, Xiaogeng"
C26CUW8W,,EUREKHA: enhancing user representation for key hackers identification in underground forums,2024,"Amadou, Abdoul Nasser Hassane; Motii, Anas; Elouardi, Saida; Bergou, EL Houcine"
Z9HCE7SB,,LLM app squatting and cloning,2024,"Xie, Yinglin; Hou, Xinyi; Zhao, Yanjie; Chen, Kai; Wang, Haoyu"
